FID,ET_ANGLE,ET_STATION,length_ft
0,23.223946659854207,0.000000000000000,12.4954004
1,23.223946659854207,2.000000000000000,26.4428005
2,23.223946659854207,4.000000000000000,30.3460007
3,23.223946659854207,6.000000000000000,33.0693016
4,23.223946659854207,8.000000000000000,32.1310997
5,23.223946659854207,10.000000000000000,33.9160995
6,23.223946659854207,12.000000000000000,32.1310997
7,23.223946659854207,14.000000000000000,37.0159988
8,23.223946659854207,16.000000000000000,40.8582001
9,23.223946659854207,18.000000000000000,39.2713013
10,23.223946659854207,20.000000000000000,35.7011986
11,23.223946659854207,22.000000000000000,37.4861984
12,23.223946659854207,24.000000000000000,35.9449005
13,29.043825976921973,26.000000000000000,37.3995018
14,29.043825976921973,28.000000000000000,37.2288017
15,29.043825976921973,30.000000000000000,39.4038010
16,29.043825976921973,32.000000000000000,41.2802010
17,29.043825976921973,34.000000000000000,37.6450996
18,29.043825976921973,36.000000000000000,35.6511002
19,29.043825976921973,38.000000000000000,40.4374008
20,29.043825976921973,40.000000000000000,40.1314011
21,29.043825976921973,42.000000000000000,43.1566010
22,29.043825976921973,44.000000000000000,41.9347992
23,29.043825976921973,46.000000000000000,43.1566010
24,29.043825976921973,48.000000000000000,43.9266014
25,38.983215476383975,50.000000000000000,42.2064018
26,38.983215476383975,52.000000000000000,38.1285019
27,38.983215476383975,54.000000000000000,42.1108017
28,38.983215476383975,56.000000000000000,42.2064018
29,38.983215476383975,58.000000000000000,42.2064018
30,38.983215476383975,60.000000000000000,45.0181999
31,38.983215476383975,62.000000000000000,40.9700012
32,38.983215476383975,64.000000000000000,42.1565018
33,38.983215476383975,66.000000000000000,38.8133011
34,38.983215476383975,68.000000000000000,37.9858017
35,38.983215476383975,70.000000000000000,37.9858017
36,38.983215476383975,72.000000000000000,35.8754997
37,38.983215476383975,74.000000000000000,31.6548004
38,38.983215476383975,76.000000000000000,37.2458992
39,37.588027276178607,78.000000000000000,37.2625999
40,37.588027276178607,80.000000000000000,34.9556999
41,37.588027276178607,82.000000000000000,34.4497986
42,38.106564758935576,84.000000000000000,39.2989006
43,38.106564758935576,86.000000000000000,37.5255013
44,38.106564758935576,88.000000000000000,45.8644981
45,23.027872885019562,90.000000000000000,42.7788010
46,23.027872885019562,92.000000000000000,46.1287003
47,33.690067525979785,94.000000000000000,47.3168983
48,33.690067525979785,96.000000000000000,50.2742004
49,33.690067525979785,98.000000000000000,53.2314987
50,33.690067525979785,100.000000000000000,51.2598991
51,33.690067525979785,102.000000000000000,55.2029991
52,33.690067525979785,104.000000000000000,53.2314987
53,33.690067525979785,106.000000000000000,50.3348999
54,33.690067525979785,108.000000000000000,53.7084007
55,33.690067525979785,110.000000000000000,58.1603012
56,33.690067525979785,112.000000000000000,56.5122986
57,22.988716802080631,114.000000000000000,58.8037987
58,22.988716802080631,116.000000000000000,65.9316025
59,22.988716802080631,118.000000000000000,69.2108994
60,22.988716802080631,120.000000000000000,74.8413010
61,22.988716802080631,122.000000000000000,76.6231995
62,22.988716802080631,124.000000000000000,78.4050980
63,22.988716802080631,126.000000000000000,78.4050980
64,22.078680592786739,128.000000000000000,79.6604004
65,22.078680592786739,130.000000000000000,78.7828979
66,22.078680592786739,132.000000000000000,81.6383972
67,22.078680592786739,134.000000000000000,79.6604004
68,22.078680592786739,136.000000000000000,77.8900986
69,22.078680592786739,138.000000000000000,81.4306030
70,22.078680592786739,140.000000000000000,82.6772003
71,22.078680592786739,142.000000000000000,81.4306030
72,22.078680592786739,144.000000000000000,81.4306030
73,22.078680592786739,146.000000000000000,76.1199036
74,22.078680592786739,148.000000000000000,74.5000992
75,22.078680592786739,150.000000000000000,74.3497009
76,22.078680592786739,152.000000000000000,76.1199036
77,7.232226128097338,154.000000000000000,66.1428986
78,7.232226128097338,156.000000000000000,71.1035995
79,7.232226128097338,158.000000000000000,74.4107971
80,7.232226128097338,160.000000000000000,72.7572021
81,7.232226128097338,162.000000000000000,74.4107971
82,7.232226128097338,164.000000000000000,74.4107971
83,7.232226128097338,166.000000000000000,69.4499969
84,7.232226128097338,168.000000000000000,67.7965012
85,7.232226128097338,170.000000000000000,71.1035995
86,7.232226128097338,172.000000000000000,59.5285988
87,7.232226128097338,174.000000000000000,57.8750000
88,7.232226128097338,176.000000000000000,56.2215004
89,7.232226128097338,178.000000000000000,57.8750000
90,7.232226128097338,180.000000000000000,56.6100006
91,7.232226128097338,182.000000000000000,59.5285988
92,7.232226128097338,184.000000000000000,59.8736992
